operaciones_ult_12m;gastos_ult_12m;limite_credito_tc;antiguedad_cliente;tasa_interes;ingresos;pct_ingreso;antiguedad_empleado;edad;estado_credito_N;estado_civil_N;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;personas_a_cargo
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Activo;C;28000;4;ALQUILER;INVERSIONES;Y;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Activo;C;6000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;<20k;<20;<5;<25;Cancelado;C;700;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;7000;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;3
50_to_75;1k_to_4k;<3k;<25y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;2000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;7400;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;5
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;4000;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;3
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;3000;3;ALQUILER;SALUD;N;ACTIVO;M;2
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;25_to_30;Cancelado;C;7000;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;2
15_to_30;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Activo;C;5000;2;HIPOTECA;SALUD;Y;ACTIVO;F;2
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;<6p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;5000;3;ALQUILER;SALUD;N;ACTIVO;F;3
>74;>10k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;<5;<25;Activo;C;9000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;1
30_to_50;1k_to_4k;>10k;25y_to_50y;<6p;50k_to_100k;40_to_60;5_to_10;25_to_30;Activo;N;25000;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;1
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;<20k;<20;<5;<25;Cancelado;D;2850;4;ALQUILER;SALUD;Y;ACTIVO;F;3
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;4000;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;4
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Cancelado;C;11000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;3
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;10000;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;1
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Activo;S;4800;2;ALQUILER;SALUD;Y;PASIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;NA;<25;Cancelado;C;4000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;4
>74;8k_to_10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Activo;C;8000;4;ALQUILER;PERSONAL;N;ACTIVO;M;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;10300;2;HIPOTECA;INVERSIONES;N;ACTIVO;M;2
30_to_50;1k_to_4k;<3k;<25y;6p_to_12p;>100k;<20;<5;<25;Cancelado;C;15000;3;ALQUILER;INVERSIONES;N;ACTIVO;M;1
15_to_30;<1k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;1000;3;ALQUILER;SALUD;Y;PASIVO;M;3
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;4500;4;ALQUILER;INVERSIONES;N;ACTIVO;F;4
15_to_30;1k_to_4k;5k_to_10k;>50y;12p_to_18p;50k_to_100k;40_to_60;5_to_10;<25;Activo;C;35000;4;ALQUILER;SALUD;Y;ACTIVO;M;1
>74;6k_to_8k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;10000;4;HIPOTECA;INVERSIONES;N;ACTIVO;M;0
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;3825;4;ALQUILER;INVERSIONES;N;ACTIVO;F;3
15_to_30;<1k;3k_to_5k;25y_to_50y;6p_to_12p;>100k;<20;5_to_10;<25;Cancelado;C;10000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;<5;<25;Cancelado;C;9000;3;PROPIA;INVERSIONES;N;ACTIVO;M;3
>74;4k_to_6k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;7500;4;ALQUILER;EDUCACIÓN;Y;ACTIVO;F;2
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;14000;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;5
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;25_to_30;Cancelado;C;7200;3;ALQUILER;SALUD;N;ACTIVO;M;2
>74;1k_to_4k;5k_to_10k;<25y;12p_to_18p;<20k;20_to_40;<5;25_to_30;Activo;S;4000;4;ALQUILER;PAGO_DEUDAS;Y;ACTIVO;F;2
50_to_75;1k_to_4k;5k_to_10k;<25y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;N;7175;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;1
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;9000;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;5000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;5
15_to_30;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;8000;2;PROPIA;EDUCACIÓN;N;ACTIVO;M;3
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;6000;2;HIPOTECA;SALUD;N;ACTIVO;M;4
>74;>10k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;S;9000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;2
50_to_75;1k_to_4k;<3k;>50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;S;3900;3;HIPOTECA;INVERSIONES;N;ACTIVO;M;0
>74;4k_to_6k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;N;6000;2;ALQUILER;INVERSIONES;Y;ACTIVO;F;1
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;>10;25_to_30;Cancelado;N;2500;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;3
50_to_75;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;6400;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
>74;>10k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;40_to_60;<5;25_to_30;Cancelado;C;25000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
>74;>10k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;25_to_30;Activo;D;9000;4;ALQUILER;PAGO_DEUDAS;Y;ACTIVO;F;4
50_to_75;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Activo;C;6000;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;4000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
>74;4k_to_6k;5k_to_10k;25y_to_50y;<6p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;2500;3;PROPIA;SALUD;N;ACTIVO;F;2
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;25_to_30;Activo;C;24250;2;ALQUILER;SALUD;N;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;7000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;4
>74;4k_to_6k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;25_to_30;Cancelado;S;6000;3;ALQUILER;PERSONAL;N;ACTIVO;F;3
50_to_75;4k_to_6k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;<5;<25;Cancelado;D;16000;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;5
30_to_50;1k_to_4k;3k_to_5k;<25y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;S;1000;3;ALQUILER;PERSONAL;Y;ACTIVO;M;0
>74;>10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;8150;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;1
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;C;6000;4;HIPOTECA;PERSONAL;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;40_to_60;5_to_10;<25;Cancelado;D;25000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;1
50_to_75;6k_to_8k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;>10;25_to_30;Cancelado;S;8000;3;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;4
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;7600;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;1
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;40_to_60;>10;25_to_30;Activo;S;15000;3;HIPOTECA;SALUD;N;ACTIVO;M;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;6000;3;ALQUILER;PERSONAL;N;ACTIVO;F;1
>74;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;10000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;4
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;N;6000;2;ALQUILER;SALUD;N;ACTIVO;F;3
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;<6p;20k_to_50k;20_to_40;NA;<25;Cancelado;C;12000;2;HIPOTECA;INVERSIONES;N;ACTIVO;F;1
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;2500;2;HIPOTECA;PERSONAL;N;ACTIVO;M;1
50_to_75;6k_to_8k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;8400;4;ALQUILER;EDUCACIÓN;Y;PASIVO;F;0
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;25_to_30;Activo;N;6400;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;3
15_to_30;<1k;5k_to_10k;<25y;6p_to_12p;20k_to_50k;40_to_60;<5;<25;Activo;C;17000;4;ALQUILER;PAGO_DEUDAS;N;PASIVO;M;2
>74;1k_to_4k;5k_to_10k;>50y;6p_to_12p;20k_to_50k;<20;>10;25_to_30;Cancelado;S;4325;4;HIPOTECA;SALUD;N;ACTIVO;F;0
>74;>10k;5k_to_10k;25y_to_50y;<6p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;4500;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;1
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;6400;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;4
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;5000;3;ALQUILER;PERSONAL;N;ACTIVO;F;1
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;15500;3;HIPOTECA;INVERSIONES;N;ACTIVO;F;4
50_to_75;1k_to_4k;>10k;>50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;S;10300;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;0
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;>100k;<20;5_to_10;25_to_30;Cancelado;C;20000;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;4
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;>10;25_to_30;Cancelado;S;12000;2;HIPOTECA;INVERSIONES;N;ACTIVO;M;4
>74;8k_to_10k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;2450;2;HIPOTECA;INVERSIONES;N;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;<25y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;4000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;2
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Activo;C;16000;3;ALQUILER;SALUD;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;5600;4;ALQUILER;PERSONAL;N;ACTIVO;F;2
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;<20k;<20;5_to_10;<25;Activo;S;1600;3;PROPIA;INVERSIONES;N;ACTIVO;M;3
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;4000;3;ALQUILER;PERSONAL;N;ACTIVO;F;2
30_to_50;1k_to_4k;<3k;<25y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;2000;4;ALQUILER;PERSONAL;N;ACTIVO;M;0
50_to_75;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;7800;4;ALQUILER;INVERSIONES;N;ACTIVO;F;0
>74;>10k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;>10;25_to_30;Cancelado;D;8000;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;3
15_to_30;<1k;<3k;25y_to_50y;>18p;50k_to_100k;40_to_60;5_to_10;<25;Activo;C;24000;2;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;3
>74;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;<20k;<20;<5;<25;Activo;S;3000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;4
15_to_30;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;N;1000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
30_to_50;1k_to_4k;3k_to_5k;>50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;2000;3;HIPOTECA;PERSONAL;N;ACTIVO;F;0
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;>100k;<20;5_to_10;25_to_30;Cancelado;C;2000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Activo;D;8500;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;1
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Cancelado;S;21000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;5_to_10;<25;Cancelado;S;19000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;5
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;S;12500;2;HIPOTECA;PAGO_DEUDAS;Y;PASIVO;M;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;6000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;4
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Activo;C;7000;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;3
>74;>10k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Activo;C;8000;4;HIPOTECA;SALUD;N;ACTIVO;F;4
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;7750;4;HIPOTECA;PERSONAL;N;ACTIVO;F;1
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;7500;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;1
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;N;5000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;1
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;>100k;<20;5_to_10;<25;Cancelado;C;16000;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;3
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;<20k;20_to_40;5_to_10;<25;Activo;S;6625;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;0
50_to_75;1k_to_4k;5k_to_10k;<25y;6p_to_12p;20k_to_50k;20_to_40;>10;25_to_30;Cancelado;S;10000;3;HIPOTECA;PERSONAL;N;ACTIVO;M;0
50_to_75;6k_to_8k;>10k;25y_to_50y;>18p;20k_to_50k;20_to_40;5_to_10;25_to_30;Cancelado;S;8400;4;ALQUILER;PERSONAL;Y;PASIVO;M;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;7200;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;5
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;3000;2;ALQUILER;PERSONAL;N;ACTIVO;F;3
>74;4k_to_6k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;4000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
>74;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;S;5000;3;HIPOTECA;PERSONAL;N;ACTIVO;M;3
>74;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;N;7000;2;ALQUILER;SALUD;N;ACTIVO;M;1
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;NA;25_to_30;Cancelado;C;9000;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;1
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;20000;4;ALQUILER;SALUD;Y;ACTIVO;M;0
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;S;10000;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;2
>74;6k_to_8k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;8000;3;ALQUILER;EDUCACIÓN;Y;ACTIVO;M;4
>74;>10k;>10k;<25y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;D;8000;2;HIPOTECA;PERSONAL;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;S;15000;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
>74;4k_to_6k;3k_to_5k;<25y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;S;8500;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;3
15_to_30;1k_to_4k;<3k;<25y;6p_to_12p;20k_to_50k;<20;NA;25_to_30;Cancelado;S;1400;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;1
>74;>10k;>10k;>50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;8000;3;ALQUILER;SALUD;N;ACTIVO;M;2
15_to_30;1k_to_4k;>10k;25y_to_50y;6p_to_12p;>100k;<20;>10;25_to_30;Cancelado;S;22000;4;PROPIA;PERSONAL;N;ACTIVO;M;3
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;5500;2;PROPIA;INVERSIONES;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;<6p;50k_to_100k;<20;NA;25_to_30;Cancelado;S;5000;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;S;4000;4;ALQUILER;EDUCACIÓN;Y;PASIVO;M;4
<15;<1k;<3k;25y_to_50y;12p_to_18p;<20k;20_to_40;5_to_10;<25;Activo;C;3250;3;HIPOTECA;PAGO_DEUDAS;Y;PASIVO;F;4
50_to_75;4k_to_6k;<3k;<25y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Activo;D;5000;3;ALQUILER;EDUCACIÓN;Y;ACTIVO;M;3
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;>10;25_to_30;Cancelado;S;22000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;N;6000;3;ALQUILER;PERSONAL;N;ACTIVO;F;3
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;25_to_30;Cancelado;C;12000;4;ALQUILER;PERSONAL;N;ACTIVO;F;1
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;S;2700;4;HIPOTECA;MEJORAS_HOGAR;Y;ACTIVO;M;4
15_to_30;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;5_to_10;<25;Activo;C;20000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;4
50_to_75;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;S;2500;3;HIPOTECA;INVERSIONES;N;ACTIVO;F;4
>74;1k_to_4k;>10k;<25y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;5500;3;HIPOTECA;PERSONAL;N;ACTIVO;M;3
15_to_30;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;<20k;20_to_40;<5;<25;Activo;C;3000;4;PROPIA;MEJORAS_HOGAR;N;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;C;7000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;4
>74;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Cancelado;S;8325;3;HIPOTECA;PERSONAL;N;ACTIVO;M;0
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;2900;2;ALQUILER;SALUD;N;ACTIVO;F;1
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;5000;3;HIPOTECA;PERSONAL;N;ACTIVO;M;3
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Activo;S;7500;4;OTROS;PAGO_DEUDAS;N;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;4800;3;ALQUILER;SALUD;N;ACTIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;1000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;4
30_to_50;1k_to_4k;5k_to_10k;<25y;6p_to_12p;20k_to_50k;<20;>10;25_to_30;Cancelado;C;2750;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;>10;25_to_30;Cancelado;D;15000;3;PROPIA;INVERSIONES;N;ACTIVO;M;3
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;C;7350;2;HIPOTECA;PERSONAL;N;ACTIVO;F;1
30_to_50;1k_to_4k;3k_to_5k;<25y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;8000;4;PROPIA;EDUCACIÓN;N;ACTIVO;M;3
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;S;6000;4;ALQUILER;PERSONAL;N;ACTIVO;F;2
30_to_50;1k_to_4k;<3k;<25y;6p_to_12p;>100k;<20;5_to_10;<25;Cancelado;S;15000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;1
50_to_75;4k_to_6k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;S;10000;3;HIPOTECA;SALUD;N;ACTIVO;M;1
